Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
DC-3;10.1.6.33;;;in operation;CentOS 7
DESKTOP-0GKSU9E;10.1.37.201;RZ1-ESX-38;CL_APOS;in operation;Windows 10
DESKTOP-5V7AKTM;10.1.37.200;RZ1-ESX-38;CL_APOS;in operation;Windows 10
DHCP-01.bev.int;10.2.2.2;RZ1-ESX-34;CL_PU;in operation;Windows Server 2019 Datacenter
DHCP-02;10.2.2.102;RZ1-ESX-34;CL_PU;in operation;Windows Server 2019
DHCP-02old;;RZ1-ESX-31;CL_PU;in operation;Windows Server 2008 R2
DokuWiki;;RZ1-ESX-32;CL_PU;in operation;Rocky Linux 8.10
DPU-SCAN-01.bev.int;10.2.6.33;RZ1-ESX-50;CL_PU;in operation;Windows Server 2008 R2 Standard
egadata-01.ega.local;;RZ1-ESX-47;CL_DB;in operation;Oracle Linux Server 7.8
EGAELK-01;;RZ1-ESX-39;CL_WEB;in operation;Rocky Linux 8.6
EGAELK-02;10.1.25.12;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
EGAPDL-01;;RZ2-ESX-59;CL_WEB;in operation;CentOS Linux 7.9.2009
EGAPDL-02;10.1.32.42;RZ1-ESX-39;CL_WEB;in operation;CentOS Linux 7.9.2009
EGASAP-01.ega.local;10.1.33.55;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2008 R2
egasdb-01.ega.local;10.1.33.72;RZ2-ESX-47;CL_DB;in operation;Oracle Linux Server 7.7
EGASIGPX-01;;RZ1-ESX-39;CL_WEB;in operation;CentOS Linux 7.7.1908
ELEMENT-01;10.2.11.210;RZ1-ESX-34;CL_PU;in operation;Rocky Linux 9.5
emcloud-01.bev.int;10.2.8.105;RZ2-ESX-31;CL_PU;in operation;Oracle Linux Server release 8.10
ESPADM-01.bev.int;10.2.5.51;RZ1-ESX-34;CL_PU;in operation;Windows Server 2008 R2 Standard
ESPADM-02.bev.int;10.2.5.57;RZ1-ESX-50;CL_PU;in operation;Windows Server 2019
ESPANA-01.bev.int;10.2.5.55;;;in operation;Windows Server 2019 Datacenter
ESPPRO-01.bev.int;10.2.5.53;RZ1-ESX-33;CL_PU;in operation;Windows Server 2019 Datacenter
ESPVEI-01;;RZ1-ESX-34;CL_PU;in operation;CentOS Linux 8.2.2004
ESPVMW-01.bev.int;10.2.5.52;RZ2-ESX-31;CL_PU;in operation;Windows Server 2019 Datacenter
ETU-HVV-01;10.6.7.39;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 9.5
ETU-HVV-02;10.6.7.38;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 9.5
ETU-MON-01;10.6.7.139;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 9.5
ETUEGAELK-01;;RZ1-ESX-39;CL_WEB;in operation;Rocky Linux 8.6
ETUEGAPDL-01;;RZ1-ESX-39;CL_WEB;in operation;CentOS Linux 7.9.2009
ETUEGAPDL-02;;RZ1-ESX-39;CL_WEB;in operation;CentOS Linux 7.9.2009
etumapproxy-01.egatest.local;10.6.7.33;RZ2-ESX-36;CL_DMZ;in operation;Windows
etumapproxy-02.egatest.local;10.6.7.133;RZ2-ESX-36;CL_DMZ;in operation;Windows
Expedition;10.3.50.230;;;in operation;Ubuntu Linux
FIL-FSLOGIX.bev.int;10.2.6.201;RZ1-ESX-50;CL_PU;in operation;Windows Server 2008 R2 Standard
fil-fslogix1;;RZ1-ESX-34;CL_PU;in operation;Windows Server 2016
fpgw01;10.2.1.105;RZ1-ESX-33;CL_PU;in operation;CentOS 7
fpgw02;10.2.1.107;RZ1-ESX-34;CL_PU;in operation;CentOS 7
G-WIKI;10.2.6.50;rz2-esx-32.bev.int;CL_PU;in operation;Rocky Linux 9.6
GEOCLOUD-01;10.2.6.40;RZ1-ESX-33;CL_PU;in operation;CentOS Linux 7.5.1804
GES-01;10.1.32.66;;;in operation;CentOS Linux 7.9.2009
geuvw10-01.user.bev.int;10.6.9.61;rz2-esx-51.bev.int;CL_BEU;in operation;Windows 10 Pro
GEUVW10-02.user.bev.int;10.6.9.62;rz2-esx-51.bev.int;CL_BEU;in operation;Windows 10 Pro
GEUVW10-03.user.bev.int;10.6.9.63;rz2-esx-51.bev.int;CL_BEU;in operation;Windows 10 Pro
GEUVW10-04.user.bev.int;10.6.9.64;RZ2-ESX-41;CL_BEU;in operation;Windows 10 Pro
GEUVW10-05.user.bev.int;10.6.9.65;RZ2-ESX-41;CL_BEU;in operation;Windows 10
GEUVW10-06;;RZ2-ESX-41;CL_BEU;in operation;Windows 10
GEUVW10-07.user.bev.int;10.6.9.67;RZ1-ESX-41;CL_BEU;in operation;Windows 10 Pro
