"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002499","W010-EA-B-N12","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002518","BN-R90BEM2T","Hofstätter Hannes","","","","Laptop","0","0","0","0"
"W001-V1-B-N07","","","","","","Laptop","0","0","0","0"
"K-00002498","W010-EA-B-N11","Demir Ali","","","","Laptop","0","0","0","0"
"K-00002556","W720-EA-B-N04","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002571","W810-EA-B-N07","Dummer Matthias","","","","Laptop","0","0","0","0"
"W001-I2-B-N04","","","","","","Laptop","0","0","0","0"
"K-00002371","BN-R90BEM5V","Ortbauer Hartwig","","","","Laptop","0","0","0","0"
"K-00002400","W001-V1-B-N06","Bsteh Markus","","","","Laptop","0","0","0","0"
"K-00002402","W001-V1-B-N30","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002407","BN-R90BEM1K","Abteilungs-NB","","","","Laptop","0","0","0","0"
"W003-E1-B-N25","W003-E1-B-N25","","","","","Laptop","0","0","0","0"
"K-00002496","W010-EA-B-N08","Mayer Andreas","","","","Laptop","0","0","0","0"
"K-00002497","W010-EA-B-N10","Steiner Rene","","","","Laptop","0","0","0","0"
"K-00002507","W120-EA-B-N05","Hackl Florian","","","","Laptop","0","0","0","0"
"K-00002513","W300-EA-B-N17","Kalab Christian","","","","Laptop","0","0","0","0"
"W300-VA-B-N02","W300-VA-B-N02","","","","","Laptop","0","0","0","0"
"K-00002517","W310-IZ-B-N03","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002519","BN-R90BEM2V","Hauser Martin","","","","Laptop","0","0","0","0"
"K-00002522","W450-EA-B-N02","Spiessberger Friedrich","","","","Laptop","0","0","0","0"
"K-00002543","W630-EA-B-N03","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"W630-EA-B-N10","W630-EA-B-N10","","","","","Laptop","0","0","0","0"
"K-00002555","W720-EA-B-N02","Rappnik Sandra","","","","Laptop","0","0","0","0"
"K-00002557","W720-EA-B-N05","ex Tomaschitz Karl","","","","Laptop","0","0","0","0"
"K-00002575","W910-EA-B-N01","Schneider Herbert","","","","Laptop","0","0","0","0"
"W001-GA-B-N16","W001-GA-B-N16","","","","","Laptop","0","0","0","0"
"W001-I3-B-N03","W001-I3-B-N03","","","","","Laptop","0","0","0","0"
"W010-EA-B-N03","","","","","","Laptop","0","0","0","0"
